ID	Estimated Diameter (D_o) [m]
1	1.1701
2	1.2657
3	1.5769
4	1.5769
5	1.5701
6	1.5070
7	1.4325
8	1.7055
9	1.7055
10	1.5769
11	1.7055
12	1.7055
13	1.9302
14	1.8774
15	2.0306
16	2.1247
17	1.8774
18	2.1247
19	2.3387
20	2.2563
21	2.3785
22	2.3387
23	2.4555
24	2.3387
25	2.1247
26	2.7029
27	2.6007
28	3.0113
29	2.8626
30	2.7682
31	3.0113
32	3.1508
33	3.4078
34	3.2826
35	3.4078
36	3.2826
37	4.4221
38	3.8564
39	3.6635
40	3.5271
41	4.0469
42	4.0039
43	4.9275
44	3.1508
45	4.3345
46	3.1508
47	3.1508
48	4.9795
49	0.0593
50	0.0727
51	0.1458
52	0.8217
53	1.0630
54	0.9656
55	1.0630
